alph_index,Material_x,VOC,CO,NOx,PM10,PM2p5,SOx,BC,OC,CH4,N2O,CO2,CO2_comb,GHGs,Material_y,HEV_conv,HEV_lw,PHEV_conv,PHEV_lw,EV_conv,EV_lw,FCV_conv,FCV_lw
d,Average Steel,1.1828790536835094,8.551237211828175,1.1125270633455326,0.6509288010787266,0.314065799972503,4.186702378473481,0.0037140147782043,0.0108610943662577,1.8436448796734797,0.0104800128776692,1036.9028209292792,1054.0271191223228,1111.8287800521962,    Steel,0.237,0.237,0.237,0.237,0.237,0.237,0.237,0.237
g,Final Iron Product Mix,0.8456651585132509,0.4789491321611934,0.6326182517105903,0.4207487070572479,0.1924774103377057,1.461320034287942,0.0027981306141615,0.0073778723449752,1.9295145325324692,0.0078854818796323,360.4794596985743,363.86775045981295,423.52002008242016,    Iron,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
j,Average Wrought Aluminum,1.1169109994386974,2.891769918655416,6.358663880387968,1.4598091430687257,1.504802263813398,18.232097912310586,0.0293010432006529,0.0751665549714025,12.450700486402692,0.111367741829648,6497.734622884506,6505.759872038263,7139.863277638762,    Aluminum,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
u,Average Nickel,2.226911308677524,5.531021719076632,5.936670471541615,0.6617502368774306,0.4612388868266487,13.888695176155164,0.0465974226934282,0.0944805435593277,23.801925830879764,0.2128409774875048,4935.134431491806,4950.766577295732,5718.169553910038,    Nickel,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282
ab,Virgin Cobalt Metal,1.767509612852809,6.256022114113747,11.322795152721408,29.01830201811587,3.630861126505475,31.072769433434782,0.163588047793193,0.1996932753655763,20.0775592375032,0.2057790265043279,8657.943828335872,8673.283458522872,9327.772398036148,    Cobalt,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018
ac,Copper,0.4730800092905114,1.361152422259786,2.0230057692539445,0.3662744661474879,0.2425998498122661,2.1394760071290326,0.0106500649163526,0.0337574623082095,4.203169163525115,0.4608221197675139,1782.0037543739084,1785.6171408759385,2036.6760206455183,    Copper,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039
ag,Average Magnesium,0.555956371215481,2.2870943201971725,3.368154339507998,0.3074929842189904,0.2145667828113283,1.488756497457839,0.0256061575341301,0.0714161666860435,9.434922110080576,0.0908529234499617,3862.137113706925,3867.463849757524,14523.755896739767,    Magnesium,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
an,Average Plastic,0.4616416309713358,2.4636396851903606,1.9927666702353173,0.5061372341693685,0.1386334734296557,4.326873301075395,0.0125189281147541,0.0269226949825796,8.22770763049393,0.1105092547953333,1358.0798570436807,1363.390073917888,1638.744787865733,    Average Plastic,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225
ar,Rubber,2.8605108342511505,1.0519189126397173,2.244667859111735,0.3177650900910233,0.1863208827540678,1.2578711321446427,0.0168108133057889,0.0284436551784387,3.5441350126361453,0.0415090350064548,1643.670393046253,1654.2386672471498,1771.1858571804692,    Rubber,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
ax,Rare Earth (Ni-MH),5.852029779336779,35.80548127312219,15.665425566991283,34.77286693482952,5.234632887435639,28.392509089796697,0.0942309834710253,0.2360931423263752,54.47974249175873,5.418774175116785,17238.11080918334,17312.615391615276,20415.43706767657,    Rare Earth Metals,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063
